username,total,easy,medium,hard,rating,C++,Java,Python,Python3,C,C#,JavaScript,TypeScript,PHP,Swift,Kotlin,Dart,Go,Ruby,Scala,Rust,Racket,Erlang,Elixir,MySQL,MS SQL Server,Oracle,Pandas,PostgreSQL,ranking,Array,String,Hash Table,Math,Dynamic Programming,Sorting,Greedy,Depth-First Search,Binary Search,Database,Breadth-First Search,Tree,Matrix,Two Pointers,Bit Manipulation,Binary Tree,Heap (Priority Queue),Stack,Prefix Sum,Simulation,Graph,Design,Counting,Sliding Window,Backtracking,Union Find,Enumeration,Linked List,Ordered Set,Monotonic Stack,Trie,Number Theory,Divide and Conquer,Recursion,Bitmask,Queue,Binary Search Tree,Segment Tree,Memoization,Hash Function,Geometry,Binary Indexed Tree,Topological Sort,String Matching,Combinatorics,Rolling Hash,Shortest Path,Game Theory,Data Stream,Interactive,Brainteaser,Monotonic Queue,Randomized,Merge Sort,Iterator,Concurrency,Doubly-Linked List,Probability and Statistics,Quickselect,Bucket Sort,Suffix Array,Minimum Spanning Tree,Counting Sort,Shell,Line Sweep,Reservoir Sampling,Strongly Connected Component,Eulerian Circuit,Radix Sort,Rejection Sampling,Biconnected Component,contestAttended,streak,totalActiveDays,contest_LastYear,contest_6months,contest_1month,last1monthActiveDays,last6monthActiveDays,OurRating
sudhanshu_090,578,186,344,48,2169.08438802307,514,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,6225,265,123,112,82,91,59,66,62,49,57,47,53,31,64,35,51,0,32,0,21,15,11,0,35,18,12,9,31,2,9,8,0,15,16,1,9,0,2,0,0,0,3,4,0,0,3,1,1,4,0,4,4,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,11,91,29,15,4,5,34,88
aryansharma1606,426,155,226,45,1509.488,418,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,202642,205,115,79,51,60,50,39,63,34,4,48,60,28,59,27,56,0,38,0,25,9,18,0,14,19,11,1,29,4,10,9,0,16,14,1,7,0,3,0,0,0,3,2,0,0,2,2,1,3,0,1,3,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,72
mahadevwardule17,585,167,334,84,2045.53146048777,566,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10943,334,112,108,90,130,79,81,59,60,16,48,55,36,55,44,44,0,30,0,27,28,12,0,25,16,14,8,27,6,14,6,0,14,15,6,9,0,4,0,0,0,3,5,0,0,2,3,4,3,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,11,141,16,2,0,4,66,89
jamshedmd1111,321,89,166,66,2623.666,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,753,178,57,65,40,82,38,35,37,27,8,29,38,28,29,25,32,0,25,0,13,18,12,0,11,12,6,11,18,3,9,7,0,8,11,5,2,0,5,0,0,0,6,3,0,0,0,1,1,3,0,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,14,72,26,5,0,0,6,90
Beyonder19,422,337,77,8,1364.44,12,248,0,5,0,0,202,0,1,0,0,0,50,0,0,0,0,0,0,39,0,0,0,0,471311,188,140,85,55,21,48,21,33,16,39,23,34,14,50,26,31,0,22,0,25,3,13,0,5,13,1,5,19,1,4,1,0,10,8,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,60
withaarzoo,645,180,353,112,0,530,22,3,32,0,1,138,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,316,136,122,72,130,88,63,84,58,0,75,66,48,55,36,55,0,35,0,25,42,25,0,27,25,27,3,35,7,8,9,0,15,19,4,10,0,3,0,0,0,3,8,0,0,1,4,5,4,0,2,4,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,56,346,0,0,0,30,174,90
anwendeng,828,236,432,160,0,796,4,6,161,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,440,175,159,136,167,115,85,83,72,30,72,66,57,69,57,57,0,49,0,34,42,25,0,38,29,28,17,42,7,15,14,0,22,22,8,11,0,2,0,0,0,3,8,0,0,7,6,5,5,0,3,5,2,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,366,366,0,0,0,30,180,92
Zeeshan_2512,482,160,270,52,1818.90468018919,470,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,34148,267,106,103,61,84,70,47,47,38,12,36,46,37,50,25,44,0,32,0,22,14,9,0,26,17,10,12,23,4,10,3,0,8,12,0,8,0,0,0,0,0,0,5,0,0,3,4,2,1,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,146,275,24,12,1,29,178,82
sgallivan,1950,522,1073,355,1969.042,251,166,16,171,0,0,1821,0,0,0,1,0,0,3,0,0,0,0,0,57,0,0,0,0,15945,1094,445,390,295,325,280,238,196,199,57,165,151,157,143,114,123,0,98,0,106,101,98,0,82,64,60,53,61,36,33,32,0,29,28,21,33,0,23,0,0,0,19,25,0,0,7,19,14,15,0,10,10,9,0,7,0,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,20,366,366,0,0,0,30,180,98
uwi,1758,426,911,421,3466.82673500522,1,1762,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1071,452,372,309,303,269,262,154,160,0,129,116,137,118,126,89,0,93,0,113,93,62,0,81,53,51,60,31,34,39,33,0,19,16,31,26,0,23,0,0,0,21,21,0,0,18,16,16,11,0,9,13,3,0,5,0,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,400,2,64,58,29,3,3,32,96
